"","Area","Area.Code","Unit","mean_value"
"1","Afghanistan",2,"g/cap/d",35.3368421052632
"2","Albania",3,"g/cap/d",100.647368421053
"3","Algeria",4,"g/cap/d",80.2473684210526
"4","Angola",7,"g/cap/d",51.6
"5","Antigua and Barbuda",8,"g/cap/d",86.7578947368421
"6","Argentina",9,"g/cap/d",111.5
"7","Armenia",1,"g/cap/d",81.4421052631579
"8","Australia",10,"g/cap/d",147.947368421053
"9","Austria",11,"g/cap/d",164.215789473684
"10","Azerbaijan",52,"g/cap/d",59.7473684210526
"11","Bahamas",12,"g/cap/d",98.1736842105263
"12","Bangladesh",16,"g/cap/d",29.4631578947368
"13","Barbados",14,"g/cap/d",90.7105263157895
"14","Belarus",57,"g/cap/d",118.610526315789
"15","Belgium",255,"g/cap/d",164.268421052632
"16","Belize",23,"g/cap/d",73.9421052631579
"17","Benin",53,"g/cap/d",50.1052631578947
"18","Bermuda",17,"g/cap/d",112.1125
"19","Bolivia (Plurinational State of)",19,"g/cap/d",54.3315789473684
"20","Bosnia and Herzegovina",80,"g/cap/d",75
"21","Botswana",20,"g/cap/d",62.5526315789474
"22","Brazil",21,"g/cap/d",114.657894736842
"23","Brunei Darussalam",26,"g/cap/d",79.7125
"24","Bulgaria",27,"g/cap/d",94.8157894736842
"25","Burkina Faso",233,"g/cap/d",60.3157894736842
"26","Burundi",29,"g/cap/d",15.38
"27","Côte d'Ivoire",107,"g/cap/d",51.6052631578947
"28","Cabo Verde",35,"g/cap/d",67.4315789473684
"29","Cambodia",115,"g/cap/d",35.2842105263158
"30","Cameroon",32,"g/cap/d",53.8578947368421
"31","Canada",33,"g/cap/d",149.268421052632
"32","Central African Republic",37,"g/cap/d",64.1526315789474
"33","Chad",39,"g/cap/d",61.1947368421053
"34","Chile",40,"g/cap/d",86.9315789473684
"35","China, Hong Kong SAR",96,"g/cap/d",134.510526315789
"36","China, Macao SAR",128,"g/cap/d",135.173684210526
"37","China, Taiwan Province of",214,"g/cap/d",129.236842105263
"38","China, mainland",41,"g/cap/d",90.2473684210526
"39","Colombia",44,"g/cap/d",79.5947368421053
"40","Comoros",45,"g/cap/d",61.3
