"","year","Element","total","continent"
"1","Y1986","Export Quantity",11126,"Africa"
"2","Y1986","Export Value",2518,"Africa"
"3","Y1986","Import Quantity",352475,"Africa"
"4","Y1986","Import Value",109061,"Africa"
"5","Y1987","Export Quantity",19412,"Africa"
"6","Y1987","Export Value",6289,"Africa"
"7","Y1987","Import Quantity",144475,"Africa"
"8","Y1987","Import Value",57054,"Africa"
"9","Y1988","Export Quantity",11695,"Africa"
"10","Y1988","Export Value",4848,"Africa"
"11","Y1988","Import Quantity",169315,"Africa"
"12","Y1988","Import Value",100092,"Africa"
"13","Y1989","Export Quantity",22505,"Africa"
"14","Y1989","Export Value",8603,"Africa"
"15","Y1989","Import Quantity",84876,"Africa"
"16","Y1989","Import Value",67792,"Africa"
"17","Y1990","Export Quantity",21267,"Africa"
"18","Y1990","Export Value",9769,"Africa"
"19","Y1990","Import Quantity",294468,"Africa"
"20","Y1990","Import Value",113878,"Africa"
"21","Y1991","Export Quantity",8328,"Africa"
"22","Y1991","Export Value",6594,"Africa"
"23","Y1991","Import Quantity",299366,"Africa"
"24","Y1991","Import Value",126935,"Africa"
"25","Y1992","Export Quantity",40450,"Africa"
"26","Y1992","Export Value",8135,"Africa"
"27","Y1992","Import Quantity",555292,"Africa"
"28","Y1992","Import Value",236637,"Africa"
"29","Y1993","Export Quantity",36086,"Africa"
"30","Y1993","Export Value",7998,"Africa"
"31","Y1993","Import Quantity",373029,"Africa"
"32","Y1993","Import Value",169406,"Africa"
"33","Y1994","Export Quantity",8044,"Africa"
"34","Y1994","Export Value",4174,"Africa"
"35","Y1994","Import Quantity",362822,"Africa"
"36","Y1994","Import Value",172784,"Africa"
"37","Y1995","Export Quantity",9769,"Africa"
"38","Y1995","Export Value",7618,"Africa"
"39","Y1995","Import Quantity",416199,"Africa"
"40","Y1995","Import Value",323117,"Africa"
"41","Y1996","Export Quantity",51416,"Africa"
"42","Y1996","Export Value",46534,"Africa"
"43","Y1996","Import Quantity",624508,"Africa"
"44","Y1996","Import Value",434518,"Africa"
"45","Y1997","Export Quantity",129515,"Africa"
"46","Y1997","Export Value",90858,"Africa"
"47","Y1997","Import Quantity",536157,"Africa"
"48","Y1997","Import Value",289154,"Africa"
"49","Y1998","Export Quantity",161053,"Africa"
"50","Y1998","Export Value",116646,"Africa"
"51","Y1998","Import Quantity",793483,"Africa"
"52","Y1998","Import Value",526124,"Africa"
"53","Y1999","Export Quantity",131576,"Africa"
"54","Y1999","Export Value",87325,"Africa"
"55","Y1999","Import Quantity",670287,"Africa"
"56","Y1999","Import Value",378776,"Africa"
"57","Y2000","Export Quantity",130364,"Africa"
"58","Y2000","Export Value",65804,"Africa"
"59","Y2000","Import Quantity",975214,"Africa"
"60","Y2000","Import Value",382269,"Africa"
"61","Y2001","Export Quantity",140948,"Africa"
"62","Y2001","Export Value",54709,"Africa"
"63","Y2001","Import Quantity",1286774,"Africa"
"64","Y2001","Import Value",402740,"Africa"
"65","Y2002","Export Quantity",96498,"Africa"
"66","Y2002","Export Value",52693,"Africa"
"67","Y2002","Import Quantity",1303633,"Africa"
"68","Y2002","Import Value",533881,"Africa"
"69","Y2003","Export Quantity",141024,"Africa"
"70","Y2003","Export Value",99404,"Africa"
"71","Y2003","Import Quantity",1199471,"Africa"
"72","Y2003","Import Value",604189,"Africa"
"73","Y2004","Export Quantity",173221,"Africa"
"74","Y2004","Export Value",119733,"Africa"
"75","Y2004","Import Quantity",1759841,"Africa"
"76","Y2004","Import Value",797298,"Africa"
"77","Y2005","Export Quantity",234739,"Africa"
"78","Y2005","Export Value",132193,"Africa"
"79","Y2005","Import Quantity",2317892,"Africa"
"80","Y2005","Import Value",968658,"Africa"
"81","Y2006","Export Quantity",180358,"Africa"
"82","Y2006","Export Value",114442,"Africa"
"83","Y2006","Import Quantity",2769404,"Africa"
"84","Y2006","Import Value",1268718,"Africa"
"85","Y2007","Export Quantity",187947,"Africa"
"86","Y2007","Export Value",171815,"Africa"
"87","Y2007","Import Quantity",2058243,"Africa"
"88","Y2007","Import Value",1417838,"Africa"
"89","Y2008","Export Quantity",194833,"Africa"
"90","Y2008","Export Value",245850,"Africa"
"91","Y2008","Import Quantity",2020578,"Africa"
"92","Y2008","Import Value",2021801,"Africa"
"93","Y2009","Export Quantity",312261,"Africa"
"94","Y2009","Export Value",241276,"Africa"
"95","Y2009","Import Quantity",2180487,"Africa"
"96","Y2009","Import Value",1870985,"Africa"
"97","Y2010","Export Quantity",333021,"Africa"
"98","Y2010","Export Value",292710,"Africa"
"99","Y2010","Import Quantity",2199362,"Africa"
"100","Y2010","Import Value",1808661,"Africa"
"101","Y2011","Export Quantity",341155,"Africa"
"102","Y2011","Export Value",401706,"Africa"
"103","Y2011","Import Quantity",2122387,"Africa"
"104","Y2011","Import Value",2765709,"Africa"
"105","Y2012","Export Quantity",392454,"Africa"
"106","Y2012","Export Value",402636,"Africa"
"107","Y2012","Import Quantity",2054614,"Africa"
"108","Y2012","Import Value",2182920,"Africa"
"109","Y2013","Export Quantity",397983,"Africa"
"110","Y2013","Export Value",400123,"Africa"
"111","Y2013","Import Quantity",3459546,"Africa"
"112","Y2013","Import Value",3112096,"Africa"
"113","Y2014","Export Quantity",553800.7,"Africa"
"114","Y2014","Export Value",556632,"Africa"
"115","Y2014","Import Quantity",5601188.48,"Africa"
"116","Y2014","Import Value",5033275,"Africa"
"117","Y2015","Export Quantity",655282.82,"Africa"
"118","Y2015","Export Value",477327,"Africa"
"119","Y2015","Import Quantity",5886171.84,"Africa"
"120","Y2015","Import Value",4208162,"Africa"
"121","Y2016","Export Quantity",648813.43,"Africa"
"122","Y2016","Export Value",569391,"Africa"
"123","Y2016","Import Quantity",5310174.73,"Africa"
"124","Y2016","Import Value",3828013,"Africa"
"125","Y2017","Export Quantity",816537.19,"Africa"
"126","Y2017","Export Value",1120039,"Africa"
"127","Y2017","Import Quantity",5896815.8,"Africa"
"128","Y2017","Import Value",4704589,"Africa"
"129","Y2018","Export Quantity",786206.01,"Africa"
"130","Y2018","Export Value",798150,"Africa"
"131","Y2018","Import Quantity",6203579.67,"Africa"
"132","Y2018","Import Value",4586809,"Africa"
"133","Y2019","Export Quantity",832503.22,"Africa"
"134","Y2019","Export Value",622334,"Africa"
"135","Y2019","Import Quantity",6811130.55,"Africa"
"136","Y2019","Import Value",4129190,"Africa"
"137","Y2020","Export Quantity",844435.9,"Africa"
"138","Y2020","Export Value",677809,"Africa"
"139","Y2020","Import Quantity",6719553.97,"Africa"
"140","Y2020","Import Value",4828081,"Africa"
"141","Y2021","Export Quantity",727101.37,"Africa"
"142","Y2021","Export Value",736611,"Africa"
"143","Y2021","Import Quantity",5967095.05,"Africa"
"144","Y2021","Import Value",6275317,"Africa"
"145","Y1986","Export Quantity",5544329,"Asia"
"146","Y1986","Export Value",1561087,"Asia"
"147","Y1986","Import Quantity",1833435,"Asia"
"148","Y1986","Import Value",543599,"Asia"
"149","Y1987","Export Quantity",5143535,"Asia"
"150","Y1987","Export Value",1649598,"Asia"
"151","Y1987","Import Quantity",2756717,"Asia"
"152","Y1987","Import Value",1026578,"Asia"
"153","Y1988","Export Quantity",5355273,"Asia"
"154","Y1988","Export Value",2236412,"Asia"
"155","Y1988","Import Quantity",2640036,"Asia"
"156","Y1988","Import Value",1185859,"Asia"
"157","Y1989","Export Quantity",6346528,"Asia"
"158","Y1989","Export Value",2255235,"Asia"
"159","Y1989","Import Quantity",3173142,"Asia"
"160","Y1989","Import Value",1259474,"Asia"
"161","Y1990","Export Quantity",7180540,"Asia"
"162","Y1990","Export Value",2098468,"Asia"
"163","Y1990","Import Quantity",3967270,"Asia"
"164","Y1990","Import Value",1291076,"Asia"
